"Gene","Treatment_Stage","mean","std","n","se","DDCtTwoP",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","Target_Antibiotic"
"Tn5403","G",43089180.467203,9255048.11204968,3,5343404.51885482,53758889.4696583,43089180.467133,10669709.0025253,0.333333333333333,52501783404.7863,2.88319696440328e-10,0.00024955371051361,"MGE"
"Tn5403","G",43089180.467203,9255048.11204968,3,5343404.51885482,37230973.3997764,43089180.467133,-5858207.06735668,0.333333333333333,52501783410.7654,8.69157733972816e-11,-0.000137017542868834,"MGE"
"Tp614","A",83792157.9575412,2463783.24651132,2,1742157.84098196,82050000.1165592,83792157.9568758,-1742157.84031659,0.499999999999996,2118285556653.38,1.01412593136129e-14,-1.16573099299287e-06,"MGE"
"Tp614","A",83792157.9575412,2463783.24651132,2,1742157.84098196,85534315.7985231,83792157.9568758,1742157.84164733,0.499999999999999,2118285556653.38,1.01412593052135e-14,1.16573099251012e-06,"MGE"
"Tp614","B",109554554.458216,29167811.2053378,3,16840043.651074,104577699.620107,109554554.458232,-4976854.83812475,0.333333333333332,214081034533.439,3.88065726788601e-12,-2.85471194038219e-05,"MGE"
"Tp614","B",109554554.458216,29167811.2053378,3,16840043.651074,83195375.4349584,109554554.458232,-26359179.0232737,0.333333333333333,214081034521.084,1.08857686549145e-10,-0.000151195615595561,"MGE"
"Tp614","B",109554554.458216,29167811.2053378,3,16840043.651074,140890588.319583,109554554.458232,31336033.8613505,0.333333333333333,214081034515.79,1.53845003740618e-10,0.000179742735000694,"MGE"
"Tp614","D",66457528.7777958,14860742.8072277,3,8579853.86011072,69958692.9689431,66457528.7778215,3501164.19112156,0.333333333333335,10270504570.2741,7.81984230699674e-10,0.000418526543574868,"MGE"
"Tp614","D",66457528.7777958,14860742.8072277,3,8579853.86011072,79255075.9008723,66457528.7778215,12797547.1230508,0.333333333333332,10270504516.3003,1.04478400228338e-08,0.00152980919238798,"MGE"
"Tp614","D",66457528.7777958,14860742.8072277,3,8579853.86011072,50158817.4635721,66457528.7778215,-16298711.3142495,0.333333333333332,10270504480.0121,1.69464827680003e-08,-0.00194833573596341,"MGE"
"Tp614","G",13898438.1993096,6308472.37343127,2,4460763.59418125,18359201.7934909,13898438.1996174,4460763.5938735,0.499999999999998,52501783411.3509,1.34386706272688e-10,0.000120473085282358,"MGE"
"Tp614","G",13898438.1993096,6308472.37343127,2,4460763.59418125,9437674.60512839,13898438.1996174,-4460763.594489,0.5,52501783411.3509,1.3438670627201e-10,-0.000120473085282054,"MGE"
"aac(3)-iid_iia","A",4635473895.45099,1647561120.2032,3,951219856.255679,3416803180.50221,4635473895.42714,-1218670714.92493,0.333333333333333,2118285554274.05,1.86089087271994e-09,-0.000706200222237959,"Aminoglycoside"
"aac(3)-iid_iia","A",4635473895.45099,1647561120.2032,3,951219856.255679,6509953083.16757,4635473895.42714,1874479187.74043,0.333333333333333,2118285551024.2,4.40260174518683e-09,0.0010862307617215,"Aminoglycoside"
"aac(3)-iid_iia","A",4635473895.45099,1647561120.2032,3,951219856.255679,3979665422.68317,4635473895.42714,-655808472.743972,0.333333333333333,2118285555964.36,5.38892578022394e-10,-0.000380030539443874,"Aminoglycoside"
"aac(3)-iid_iia","C",4503775056.92095,2220634824.62474,2,1570225943.03115,6074000999.9521,4503775056.93486,1570225943.01724,0.500000000000002,437136137576.946,2.5196729951557e-07,0.00509437256687254,"Aminoglycoside"
"aac(3)-iid_iia","C",4503775056.92095,2220634824.62474,2,1570225943.03115,2933549113.88979,4503775056.93486,-1570225943.04507,0.5,437136137576.946,2.51967299524645e-07,-0.0050943725669643,"Aminoglycoside"
"aac(3)-iid_iia","D",1204563792.23656,399778621.862708,2,282686174.492533,921877617.74403,1204563792.23629,-282686174.492257,0.499999999999999,10270466620.0512,1.35941140435217e-05,-0.0390197484983494,"Aminoglycoside"
"aac(3)-iid_iia","D",1204563792.23656,399778621.862708,2,282686174.492533,1487249966.7291,1204563792.23629,282686174.492809,0.5,10270466620.0512,1.35941140435806e-05,0.0390197484984338,"Aminoglycoside"
"aac(3)-iid_iia","E",4003489156.5538,1903380160.34779,3,1098917047.94699,1948882546.29037,4003489156.55424,-2054606610.26386,0.333333333333332,638867583544.495,8.1277967925516e-08,-0.00395036325439815,"Aminoglycoside"
"aac(3)-iid_iia","E",4003489156.5538,1903380160.34779,3,1098917047.94699,5706662118.20367,4003489156.55424,1703172961.64943,0.333333333333334,638867592664.103,5.58512609832904e-08,0.00327466671720829,"Aminoglycoside"
"aac(3)-iid_iia","E",4003489156.5538,1903380160.34779,3,1098917047.94699,4354922805.16736,4003489156.55424,351433648.613121,0.333333333333334,638867611842.976,2.37794692901094e-09,0.00067569653718966,"Aminoglycoside"
"aac(3)-iid_iia","G",3374945210.10153,264394462.165044,2,186955117.105072,3561900327.2066,3374945210.09879,186955117.107809,0.499999999999999,52501779909.483,2.36054675931065e-07,0.00504914893824247,"Aminoglycoside"
"aac(3)-iid_iia","G",3374945210.10153,264394462.165044,2,186955117.105072,3187990092.99646,3374945210.09879,-186955117.102336,0.500000000000002,52501779909.483,2.3605467591748e-07,-0.00504914893809716,"Aminoglycoside"
"aac(6')-Ib_1","A",130010051.171203,49628216.9941319,3,28652864.4409632,98253127.8535606,130010051.17053,-31756923.3169697,0.333333333333334,2118285556651.78,1.26364474741131e-12,-1.84026300377481e-05,"Aminoglycoside"
"aac(6')-Ib_1","A",130010051.171203,49628216.9941319,3,28652864.4409632,187199326.039942,130010051.17053,57189274.8694117,0.333333333333334,2118285556648.15,4.09805078076451e-12,3.31402717135042e-05,"Aminoglycoside"
"aac(6')-Ib_1","A",130010051.171203,49628216.9941319,3,28652864.4409632,104577699.620108,130010051.17053,-25432351.5504225,0.333333333333334,2118285556652.35,8.10440605090547e-13,-1.47376416757996e-05,"Aminoglycoside"
"aac(6')-Ib_1","B",94924282.1814061,11215834.4806726,3,6475465.05660264,82620702.999524,94924282.1839401,-12303579.1844161,0.333333333333333,214081034531.104,2.37169194373062e-11,-7.05730336731694e-05,"Aminoglycoside"
"aac(6')-Ib_1","B",94924282.1814061,11215834.4806726,3,6475465.05660264,104577699.620108,94924282.1839401,9653417.43616778,0.333333333333333,214081034532.177,1.46001566004879e-11,5.53717697577247e-05,"Aminoglycoside"
"aac(6')-Ib_1","B",94924282.1814061,11215834.4806726,3,6475465.05660264,97574443.9245865,94924282.1839401,2650161.74064647,0.333333333333333,214081034533.766,1.10037344452565e-12,1.52012638734543e-05,"Aminoglycoside"
"aac(6')-Ib_1","C",76008651.8906022,65823798.2880025,3,38003387.6606619,64375125.3238792,76008651.8930082,-11633526.5691291,0.333333333333334,437136169623.182,5.18649453027317e-12,-3.26866620081689e-05,"Aminoglycoside"
"aac(6')-Ib_1","C",76008651.8906022,65823798.2880025,3,38003387.6606619,146873614.347927,76008651.8930082,70864962.4549192,0.333333333333334,437136169575.546,1.92448386833773e-10,0.000199108934223849,"Aminoglycoside"
"aac(6')-Ib_1","C",76008651.8906022,65823798.2880025,3,38003387.6606619,16777216,76008651.8930082,-59231435.8930082,0.333333333333334,437136169590.3,1.34448411118568e-10,-0.000166422272218669,"Aminoglycoside"
"aac(6')-Ib_1","D",84970749.0408973,26673212.9921464,3,15399786.701168,60902579.5715745,84970749.0406334,-24068169.4690589,0.333333333333335,10270504368.2919,3.69538048404868e-08,-0.00287709094125803,"Aminoglycoside"
"aac(6')-Ib_1","D",84970749.0408973,26673212.9921464,3,15399786.701168,80361435.5311681,84970749.0406334,-4609313.50946531,0.333333333333335,10270504567.0725,1.3553315121622e-09,-0.000550993882655997,"Aminoglycoside"
"aac(6')-Ib_1","D",84970749.0408973,26673212.9921464,3,15399786.701168,113648232.019949,84970749.0406334,28677482.9793157,0.333333333333335,10270504281.6878,5.24632391067153e-08,0.00342808482390739,"Aminoglycoside"
"aac(6')-Ib_1","E",37684374.2759226,32355088.4000254,3,18680218.9974088,74979870.597838,37684374.2776456,37295496.3201924,0.333333333333334,638867612686.252,2.67810904989761e-11,7.17075266328675e-05,"Aminoglycoside"
"aac(6')-Ib_1","E",37684374.2759226,32355088.4000254,3,18680218.9974088,20943511.258321,37684374.2776456,-16740863.0193246,0.333333333333334,638867612693.922,5.3959903033593e-12,-3.21874220503131e-05,"Aminoglycoside"
"aac(6')-Ib_1","E",37684374.2759226,32355088.4000254,3,18680218.9974088,17129740.9716088,37684374.2776456,-20554633.3060368,0.333333333333334,638867612692.939,8.13457638639695e-12,-3.95201045822023e-05,"Aminoglycoside"
"aac(6')-Ib_1","F",31791198.5451932,17146673.2776114,3,9899636.4325355,50158817.4635723,31791198.5500185,18367618.9135538,0.333333333333333,141277924837.871,1.22553648763746e-10,0.000159659509403165,"Aminoglycoside"
"aac(6')-Ib_1","F",31791198.5451932,17146673.2776114,3,9899636.4325355,16205722.4326193,31791198.5500185,-15585476.1173993,0.333333333333333,141277924840.582,8.82390194788131e-11,-0.000135475887343812,"Aminoglycoside"
"aac(6')-Ib_1","F",31791198.5451932,17146673.2776114,3,9899636.4325355,29009055.7393882,31791198.5500185,-2782142.81063035,0.333333333333333,141277924847.33,2.8117672209009e-12,-2.41836221841846e-05,"Aminoglycoside"
"aac(6')-Ib_1","G",148796051.143513,68105856.8252122,3,39320934.7714263,91673409.8090562,148796051.144721,-57122641.3356643,0.333333333333335,52501783168.0159,8.2639127616362e-09,-0.00133604085136399,"Aminoglycoside"
"aac(6')-Ib_1","G",148796051.143513,68105856.8252122,3,39320934.7714263,224167206.451846,148796051.144721,75371155.3071253,0.333333333333335,52501782986.2315,1.43873068648798e-08,0.00176285515083174,"Aminoglycoside"
"aac(6')-Ib_1","G",148796051.143513,68105856.8252122,3,39320934.7714263,130547537.169637,148796051.144721,-18248513.975084,0.333333333333335,52501783388.3083,8.43381695589476e-10,-0.000426814299487875,"Aminoglycoside"
"aac6-aph2","A",26830493814.42,10985943906.0946,2,7768235433.7345,34598729248.1545,26830493814.4239,7768235433.73063,0.499999999999992,2118285427748.92,2.01633016210863e-07,0.0051979634639209,"Aminoglycoside"
"aac6-aph2","A",26830493814.42,10985943906.0946,2,7768235433.7345,19062258380.6855,26830493814.4239,-7768235433.73838,0.499999999999992,2118285427748.92,2.01633016210809e-07,-0.0051979634639202,"Aminoglycoside"
"aac6-aph2","D",2408406870.77227,2251363017.04084,3,1299825043.9321,4477356350.01238,2408406870.77226,2068949479.24012,0.33333333333333,10268979652.619,0.00027306925861037,0.247320670241538,"Aminoglycoside"
